Uniprot Accession;Description;Gene name;IBAQ Amount in Ref2824 , fmol/ug yeast protein;Abundance Ratio: (S1) / (Ref2824);Abundance Ratio: (S2) / (Ref2824);Abundance Ratio: (S3) / (Ref2824);Abundance Ratio: (S4) / (Ref2824);Abundance Ratio: (S5) / (Ref2824);Abundance Ratio: (S6) / (Ref2824);Sequence Coverage [%];Identified Peptides;PSMs;Identified Unique Peptides;MW [kDa]
Q06137;Putative 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase YLR345W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YLR345W PE=1 SV=1;;9,44E-02;1,148;0,983;1,119;1,005;1,028;1,029;16;6;6;6;58,3
P40151;DNA-dependent ATPase MGS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGS1 PE=1 SV=2;MGS1;4,97E-03;1,347;1,314;1,459;1,597;1,479;1,553;11;6;6;6;66,5
P19807;Choline transport protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HNM1 PE=1 SV=1;HNM1;1,80E-01;1,072;1,053;1,168;1,015;1,12;1,119;14;4;6;4;62
P53950;Vacuolar segregation protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAC7 PE=1 SV=1;VAC7;;1,449;1,442;1,622;1,713;1,674;1,622;7;6;6;6;128,1
P53829;Protein CAF40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAF40 PE=1 SV=1;CAF40;9,93E-01;0,523;0,506;0,547;0,561;0,562;0,589;10;4;6;4;41,1
P36534;54S ribosomal protein L40, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL40 PE=1 SV=2;MRPL40;5,80E-01;0,431;0,401;0,42;0,423;0,437;0,428;16;5;6;5;33,7
P32643;Trans-aconitate 3-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMT1 PE=1 SV=1;TMT1;1,04E-01;2,715;2,623;2,863;2,269;2,39;2,292;15;5;6;5;34,7
P06775;Histidine permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIP1 PE=1 SV=2;HIP1;1,46E-01;1,952;2,047;2,17;1,437;1,372;1,354;11;5;6;5;66
P25372;Thioredoxin-3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRX3 PE=1 SV=1;TRX3;4,08E+00;0,483;0,469;0,485;0,51;0,478;0,462;47;6;6;6;14,4
P36119;Uncharacterized protein YKR023W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKR023W PE=1 SV=1;;2,14E-03;1,277;1,06;1,286;1,574;1,558;1,265;10;4;6;4;60,8
P32897;Mitochondrial import inner membrane translocase subunit TIM23 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM23 PE=1 SV=1;TIM23;3,18E-01;3,074;2,941;3,107;3,025;3,301;3,132;29;4;6;4;23,2
P48526;Isoleucine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISM1 PE=1 SV=2;ISM1;1,13E-01;0,971;0,981;1,081;0,864;0,793;0,823;8;6;6;6;115,7
P36132;tRNA N6-adenosine threonylcarbamoyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KAE1 PE=1 SV=2;KAE1;9,76E-02;1,625;1,675;1,655;1,68;1,753;1,861;12;4;6;4;42,7
Q05021;Transcription initiation factor TFIID subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF7 PE=1 SV=1;TAF7;9,34E-02;0,695;0,625;0,684;0,657;0,775;0,717;9;5;6;4;67,5
P50942;Polyphosphatidylinositol phosphatase INP52 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP52 PE=1 SV=1;INP52;3,21E-02;1,215;1,08;1,447;1,285;1,172;1,283;6;6;6;6;133,2
P06776;3',5'-cyclic-nucleotide phosphodiesterase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDE2 PE=1 SV=2;PDE2;1,71E-01;0,67;0,652;0,664;0,817;0,791;0,816;10;5;6;5;61
Q99271;Na(+)/H(+) antiporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NHA1 PE=1 SV=1;NHA1;5,02E-02;0,663;0,629;0,698;0,751;0,673;0,7;5;4;6;4;109,3
Q04120;Peroxiredoxin TSA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSA2 PE=1 SV=3;TSA2;4,51E+00;1,26;1,35;1,303;0,562;0,532;0,585;8;2;6;1;21,6
O13585;Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR089W PE=1 SV=2;;6,21E-03;0,988;0,999;1,044;1,085;1,062;1,11;7;5;6;5;102,5
P49704;Pre-mRNA-processing factor 31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP31 PE=1 SV=2;PRP31;7,09E-02;0,194;0,19;0,189;0,195;0,196;0,197;17;6;6;6;56,3
P32617;Chromatin-remodeling complex subunit IES6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES6 PE=1 SV=1;IES6;;0,926;0,855;0,977;0,992;0,943;0,995;19;4;6;4;18,5
Q3E705;rRNA-processing protein EFG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFG1 PE=1 SV=2;EFG1;8,31E-01;1,555;1,637;1,534;1,806;1,832;1,83;29;5;6;5;27,1
P53628;Transcription regulatory protein SNF12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNF12 PE=1 SV=1;SNF12;6,10E-02;2,89;3,013;2,881;3,552;3,442;3,565;11;5;6;5;63,8
P52867;Dolichyl-phosphate-mannose--protein mannosyltransferase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMT5 PE=1 SV=1;PMT5;;3,987;4,084;4,172;5,332;5,718;5,448;9;5;6;5;84,7
P39543;Protein SOP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOP4 PE=1 SV=1;SOP4;1,03E-01;0,613;0,564;0,557;0,679;0,596;0,628;14;4;6;4;26,6
Q12163;NAP1-binding protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NBP2 PE=1 SV=1;NBP2;;8,765;7,874;8,778;8,55;8,343;7,889;18;3;6;3;26,6
P40582;Glutathione S-transferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GTT1 PE=1 SV=1;GTT1;1,22E+00;1,023;1,023;1,02;0,607;0,632;0,686;20;4;6;4;26,8
P32833;Origin recognition complex subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ORC2 PE=1 SV=2;ORC2;8,71E-03;1,16;1,186;1,212;1,295;1,336;1,352;9;5;6;5;71,2
Q12044;Regulator of calcineurin 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RCN2 PE=1 SV=1;RCN2;2,15E-01;1,255;1,269;1,268;1,365;1,46;1,473;27;5;6;5;29,2
Q06624;DNA damage tolerance protein RHC31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AOS1 PE=1 SV=1;AOS1;8,67E-02;1,119;1,144;1,145;1,217;1,257;1,282;19;6;6;6;39,2
P53095;D-serine dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DSD1 PE=1 SV=2;DSD1;7,63E-02;0,462;0,477;0,495;0,553;0,559;0,539;14;6;6;6;47,8
Q06321;Sterol 3-beta-glucosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG26 PE=1 SV=1;ATG26;6,98E-03;0,107;0,102;0,121;0,1;0,094;0,101;5;5;6;5;136
P38342;3-ketodihydrosphingosine reductase TSC10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSC10 PE=1 SV=2;TSC10;1,76E-01;5,038;5,372;5,107;6,523;6,193;6,451;16;5;6;5;35,9
Q08920;Nuclear cap-binding protein subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBC2 PE=1 SV=1;CBC2;5,69E-01;2,264;1,978;2,786;2,332;2,246;2,266;23;5;6;5;23,8
P40481;Histidine protein methyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPM1 PE=1 SV=1;HPM1;8,38E-02;2,214;2,227;2,139;2,195;2,273;2,205;10;3;6;3;42,5
P38732;Protein-lysine N-methyltransferase EFM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFM1 PE=1 SV=1;EFM1;1,72E-01;1,222;1,207;1,213;1,025;1,078;1,14;9;5;6;5;67,4
Q04533;Putative cystathionine gamma-synthase YML082W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YML082W PE=1 SV=1;;7,86E-02;1,314;1,264;1,376;1,225;1,18;1,157;9;6;6;6;74,3
P36122;Protein BCH2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BCH2 PE=1 SV=1;BCH2;5,12E-02;0,749;0,751;0,742;0,746;0,78;0,797;8;6;6;6;88
P40079;U3 small nucleolar ribonucleoprotein protein LCP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCP5 PE=1 SV=1;LCP5;5,75E-02;1,847;2,108;1,94;2,666;2,63;2,712;17;4;6;4;40,8
P23394;Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP28 PE=1 SV=2;PRP28;6,56E-02;0,949;0,899;1,076;1,105;0,997;1,085;9;5;6;5;66,6
P27999;DNA-directed RNA polymerase II subunit RPB9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPB9 PE=1 SV=1;RPB9;2,05E-01;2,855;2,811;2,853;3,13;3,182;3,123;48;4;6;4;14,3
P31385;Transcriptional regulatory protein DEP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DEP1 PE=1 SV=3;DEP1;6,69E-02;0,75;0,793;0,789;0,78;0,86;0,835;12;5;6;5;46,9
P36022;Dynein heavy chain, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DYN1 PE=1 SV=1;DYN1;1,33E-02;0,865;0,871;0,915;0,884;0,884;0,998;2;6;6;6;471
Q06224;Endoribonuclease YSH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YSH1 PE=1 SV=1;YSH1;1,04E-02;1,641;1,563;1,573;1,593;1,588;1,552;8;5;6;5;87,6
P52870;Protein transport protein SBH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SBH1 PE=1 SV=1;SBH1;5,18E-01;1,76;1,826;1,869;1,912;1,951;2,015;45;4;6;4;8,7
Q06668;Methyltransferase OMS1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OMS1 PE=1 SV=1;OMS1;8,90E-02;0,35;0,337;0,334;0,395;0,387;0,387;13;6;6;6;55,6
P32904;54S ribosomal protein L6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL6 PE=1 SV=2;MRPL6;1,70E-01;0,616;0,593;0,634;0,609;0,6;0,631;27;5;6;5;23,9
P17898;Cholinephosphotransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CPT1 PE=1 SV=3;CPT1;1,30E-01;0,932;0,959;0,927;1,017;1,02;1,05;7;3;6;3;44,8
P05747;60S ribosomal protein L29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL29 PE=1 SV=3;RPL29;;1,548;1,396;1,863;2,021;1,766;1,875;29;2;6;2;6,7
Q04430;Pantothenate kinase CAB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAB1 PE=1 SV=1;CAB1;3,34E-01;1,117;1,152;1,131;1,01;0,996;1,026;15;5;6;5;40,9
P38084;Leu/Val/Ile amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BAP2 PE=1 SV=2;BAP2;3,29E-02;0,885;0,751;1,136;1,535;1,485;1,436;6;4;6;3;67,7
P53951;Conserved oligomeric Golgi complex subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG5 PE=1 SV=1;COG5;8,87E-02;1,18;1,158;1,194;1,273;1,344;1,346;12;5;6;5;45,6
Q12383;tRNA:m(4)X modification enzyme TRM13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM13 PE=1 SV=1;TRM13;1,51E-01;0,422;0,444;0,424;0,508;0,487;0,488;11;5;6;5;54,1
P06779;DNA repair protein RAD7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD7 PE=1 SV=3;RAD7;5,63E-02;0,57;0,549;0,587;0,549;0,554;0,558;8;5;6;5;63,7
Q04602;Vacuolar basic amino acid transporter 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VBA4 PE=1 SV=1;VBA4;4,74E-02;1,742;1,527;1,703;1,609;1,644;1,527;6;3;6;3;85,6
P53600;Coatomer subunit zeta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RET3 PE=1 SV=1;RET3;2,76E-01;1,633;1,716;1,622;1,487;1,808;1,791;23;3;6;3;21,7
Q12208;U6 snRNA phosphodiesterase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=USB1 PE=1 SV=1;USB1;1,09E-01;1,926;2,033;2,049;2,157;2,182;2,37;20;5;6;5;33,7
P42948;SET domain-containing protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SET4 PE=3 SV=1;SET4;6,52E-02;1,964;1,989;2,15;2,671;2,6;2,49;9;5;6;5;63,8
P53326;Uncharacterized protein YGR266W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR266W PE=1 SV=1;;4,00E-01;0,228;0,232;0,214;0,235;0,236;0,235;8;6;6;6;81,1
Q07688;Phosphorelay intermediate protein YPD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPD1 PE=1 SV=1;YPD1;9,61E-01;1,004;1,044;0,978;0,864;0,978;0,99;24;4;6;4;19,2
P53219;Abhydrolase domain-containing protein IMO32 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMO32 PE=1 SV=1;IMO32;4,05E-01;0,746;0,703;0,729;0,836;0,837;0,859;15;5;6;5;38,5
Q12463;tRNA (guanine(10)-N2)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM11 PE=1 SV=1;TRM11;9,82E-03;1,258;1,305;1,366;1,551;1,592;1,55;12;6;6;6;50
P38635;Histidinol-phosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIS2 PE=1 SV=2;HIS2;7,69E-01;0,392;0,368;0,382;0,226;0,244;0,246;12;4;6;4;38,6
P53865;Chaotic nuclear migration protein 67 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CNM67 PE=1 SV=1;CNM67;5,05E-02;0,523;0,505;0,549;0,469;0,496;0,497;9;6;6;6;67,4
P0CX79;L-asparaginase 2-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASP3-4 PE=1 SV=1;ASP3-4;1,01E+02;0,01;0,01;0,01;0,01;0,01;0,01;18;5;6;5;38,7
P38085;Valine/tyrosine/tryptophan amino-acid permease 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAT1 PE=1 SV=1;TAT1;6,08E-02;0,414;0,455;0,463;1,077;1,112;1,137;7;5;6;5;68,7
P47818;Protein CCC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CCC1 PE=1 SV=1;CCC1;1,14E+00;0,543;0,509;0,533;0,423;0,425;0,425;12;4;6;4;34,2
P38255;Transcriptional regulatory protein RXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RXT2 PE=1 SV=2;RXT2;5,40E-02;0,547;0,616;0,593;0,521;0,68;0,635;17;6;6;6;48,6
P38816;Thioredoxin reductase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRR2 PE=1 SV=1;TRR2;4,07E-01;2,533;2,519;2,353;2,564;2,813;2,868;21;4;6;3;37,1
Q02795;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SWP1 PE=1 SV=1;SWP1;8,66E-01;2,573;2,666;2,701;2,781;2,786;2,876;12;3;6;3;31,6
P32911;Eukaryotic translation initiation factor eIF-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUI1 PE=1 SV=1;SUI1;1,18E-01;3,599;3,679;3,634;3,749;4,07;4,373;48;3;6;3;12,3
P23643;Vacuolar protein sorting-associated protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS3 PE=1 SV=1;VPS3;9,82E-03;1,637;1,55;1,569;0,978;1,093;1,006;6;5;6;5;116,8
Q04226;Transcription initiation factor TFIID subunit 11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF11 PE=1 SV=1;TAF11;1,48E-01;0,648;0,684;0,856;0,745;0,754;0,802;14;5;6;5;40,6
P53121;Putative flavin carrier protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FLC3 PE=1 SV=1;FLC3;2,05E-01;1,78;1,531;1,684;1,526;1,575;1,62;7;5;6;4;90,7
Q92325;Cullin-associated NEDD8-dissociated protein 1 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAG2 PE=1 SV=2;LAG2;1,94E-01;0,653;0,626;0,685;0,633;0,603;0,613;8;6;6;6;75,6
P40559;Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP51 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP51 PE=1 SV=1;INP51;1,15E-02;1,783;1,761;1,781;1,872;1,962;1,876;7;6;6;6;108,4
Q08004;Bud site selection protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD20 PE=1 SV=1;BUD20;4,90E-01;1,057;1,131;1,12;1,355;1,387;1,416;57;6;6;6;18,5
P06784;Serine/threonine-protein kinase STE7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE7 PE=1 SV=1;STE7;;1,309;1,328;1,339;1,456;1,432;1,389;9;5;6;5;57,7
P20486;Cyclin-dependent kinases regulatory subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CKS1 PE=1 SV=1;CKS1;1,76E-01;2,589;2,167;2,254;2,547;2,548;2,272;37;5;6;5;17,8
Q12091;Damage response protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DAP1 PE=1 SV=1;DAP1;;2,281;2,249;2,613;1,95;2,338;2,182;40;4;6;4;16,7
P07277;Mevalonate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG12 PE=1 SV=1;ERG12;8,88E-01;1,551;1,603;1,655;1,409;1,518;1,46;13;4;6;4;48,4
P39515;Mitochondrial import inner membrane translocase subunit TIM17 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM17 PE=1 SV=1;TIM17;3,90E+00;0,465;0,391;0,423;0,527;0,434;0,428;10;2;6;2;16,6
Q08448;Putative lipase YOR059C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR059C PE=1 SV=1;;2,37E-01;0,712;0,687;0,794;0,716;0,706;0,715;12;6;6;6;51,1
P53272;Uncharacterized protein YGR122W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR122W PE=4 SV=1;;5,43E-02;0,298;0,282;0,297;0,28;0,305;0,298;15;5;6;5;45,3
Q04195;E3 SUMO-protein ligase SIZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIZ1 PE=1 SV=1;SIZ1;2,86E-03;1,305;1,232;1,411;1,435;1,293;1,458;6;5;6;5;100,7
Q04868;Elongator complex protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELP6 PE=1 SV=1;ELP6;2,26E-02;0,511;0,529;0,533;0,537;0,543;0,533;13;4;6;4;30,6
Q92317;Negative cofactor 2 complex subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NCB2 PE=1 SV=1;NCB2;6,91E-01;0,89;0,867;0,927;0,933;0,999;1,018;35;5;6;5;16,6
P13574;Protein STE12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE12 PE=1 SV=1;STE12;2,34E-02;2,62;2,587;2,717;3,265;2,971;2,793;6;4;6;4;77,8
P53079;Conserved oligomeric Golgi complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COG1 PE=1 SV=1;COG1;1,66E-01;1,635;1,353;1,584;1,398;1,492;1,486;13;5;6;5;48,3
P38823;E3 ubiquitin-protein ligase DMA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DMA1 PE=1 SV=1;DMA1;4,40E-01;0,846;0,891;0,92;0,854;0,888;0,916;15;6;6;5;46,1
P54781;Cytochrome P450 61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERG5 PE=1 SV=1;ERG5;8,58E-01;0,077;0,09;0,095;0,057;0,081;0,062;9;5;6;5;61,3
P36154;Altered inheritance rate of mitochondria protein 29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM29 PE=1 SV=1;AIM29;1,17E+00;0,532;0,536;0,528;0,561;0,593;0,596;25;4;6;4;18,4
P38288;Protein TOS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOS1 PE=1 SV=1;TOS1;1,69E-01;2,105;2,174;2,029;2,252;2,357;2,317;16;5;6;5;48
P42938;Probable ATP-dependent kinase TDA10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDA10 PE=1 SV=1;TDA10;1,77E-01;1,673;1,483;1,721;1,591;1,573;1,696;21;4;6;4;33,3
P36131;DASH complex subunit SPC34 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC34 PE=1 SV=1;SPC34;4,72E-03;1,87;1,881;1,862;1,912;2,034;2,145;16;5;6;5;34,1
P38809;Uncharacterized protein YHR097C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHR097C PE=1 SV=1;;;0,992;0,816;0,948;1,068;1,104;0,869;20;6;6;6;40,6
P25642;54S ribosomal protein IMG2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IMG2 PE=1 SV=2;IMG2;5,94E-01;0,275;0,262;0,271;0,267;0,273;0,264;27;4;6;4;16,4
P41734;Isoamyl acetate-hydrolyzing esterase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IAH1 PE=1 SV=1;IAH1;3,76E-01;1,052;1,057;1,121;0,985;1,096;1,113;18;4;6;4;27,3
P21182;S-adenosylmethionine decarboxylase proenzyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPE2 PE=1 SV=1;SPE2;2,33E-01;0,842;0,846;0,821;0,802;0,858;0,85;12;4;6;4;46,2
P48412;Nonsense-mediated mRNA decay protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UPF3 PE=1 SV=1;UPF3;3,49E-02;0,898;0,878;0,926;0,943;0,995;0,956;20;6;6;6;44,9
Q12186;Branchpoint-bridging protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSL5 PE=1 SV=1;MSL5;8,09E-01;0,361;0,346;0,383;0,414;0,414;0,39;7;4;6;4;53
Q04458;Fatty aldehyde dehydrogenase HFD1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HFD1 PE=1 SV=1;HFD1;1,21E+00;0,633;0,505;0,607;0,686;0,573;0,522;11;6;6;6;59,9
Q04969;Signal peptidase complex subunit SPC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC2 PE=1 SV=1;SPC2;8,02E-01;0,635;0,666;0,635;0,62;0,633;0,625;28;5;6;5;20,8
P00424;Cytochrome c oxidase polypeptide 5A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=COX5A PE=1 SV=1;COX5A;1,05E+01;0,042;0,056;0,055;0,049;0,054;0,057;31;4;6;3;17,1
Q02256;Tyrosine-protein phosphatase YVH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YVH1 PE=1 SV=1;YVH1;3,39E-02;0,59;0,647;0,638;0,73;0,722;0,751;20;6;6;6;41,2
Q99176;Protein SRN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRN2 PE=1 SV=1;SRN2;3,14E-01;1,111;1,081;1,108;0,98;1,059;1,097;25;5;6;5;25,1
Q12373;HAT1-interacting factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIF1 PE=1 SV=1;HIF1;2,94E-01;0,982;0,935;0,987;0,963;1,035;1,064;17;5;6;5;43,4
P35180;Mitochondrial import receptor subunit TOM20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM20 PE=1 SV=1;TOM20;6,68E-01;1,778;1,765;1,792;1,733;2,045;2,126;30;5;6;5;20,3
P36168;EST/SMG-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESL2 PE=1 SV=1;ESL2;1,36E-02;1,546;1,435;1,649;1,572;1,45;1,379;5;6;6;6;137,4
Q12511;[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PTC5 PE=1 SV=1;PTC5;5,75E-02;0,368;0,352;0,387;0,37;0,37;0,379;13;6;6;6;63,6
P40056;Golgi to ER traffic protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GET2 PE=1 SV=2;GET2;4,65E-01;0,94;0,991;0,929;0,603;0,642;0,654;17;5;6;5;31,5
Q05031;Mannan endo-1,6-alpha-mannosidase DFG5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DFG5 PE=1 SV=1;DFG5;3,08E-01;0,675;0,718;0,692;0,723;0,776;0,718;9;4;6;4;50,5
P38875;GPI transamidase component GPI16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPI16 PE=1 SV=2;GPI16;7,33E-02;0,732;0,756;0,78;0,79;0,818;0,816;8;5;6;5;68,7
P38347;Protein-lysine N-methyltransferase EFM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFM2 PE=1 SV=1;EFM2;1,00E-01;0,822;0,708;0,914;0,918;0,868;0,855;14;5;6;5;47,9
Q04651;ER-derived vesicles protein ERV41 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERV41 PE=1 SV=1;ERV41;4,93E-02;1,68;1,698;1,709;1,837;1,921;1,974;16;5;6;5;40,7
P46957;DNA polymerase delta small subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL31 PE=1 SV=1;POL31;8,73E-02;2,052;2,036;2,092;2,147;2,107;2,028;13;6;6;6;55,3
