Accession;Description;Coverage_%;Peptides;PSMs;Unique_Peptides;MW_kDa;Rich_1;Rich_2;Rich_3;Min_1;Min_2;Min_3
P47069;Spindle pole body assembly component MPS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPS3 PE=1 SV=2;9;5;5;5;79,1;0,804;0,809;0,844;0,785;0,737;0,605
Q04748;Protein SOV1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SOV1 PE=1 SV=1;6;5;5;5;104,7;0,918;0,849;0,706;0,781;0,761;0,695
Q03361;Uncharacterized protein JIP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=JIP4 PE=1 SV=2;5;4;5;4;98,6;0,7;0,709;1,068;0,756;0,861;0,996
O13539;THO complex subunit THP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=THP2 PE=1 SV=1;18;4;5;4;30,3;1,268;1,221;0,835;1,264;0,95;0,699
Q12010;Probable vacuolar amino acid transporter YPQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPQ1 PE=1 SV=1;11;3;5;3;34,9;2,258;2,341;1,615;2,172;1,859;0,793
P38970;Serine/threonine-protein kinase HAL5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAL5 PE=1 SV=2;5;4;5;4;95,4;0,849;0,899;0,792;0,768;0,749;0,599
Q03654;Pre-mRNA-splicing factor CEF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CEF1 PE=1 SV=1;7;3;5;3;67,7;1,331;1,739;1,363;0,956;1,265;1,839
P25345;Asparagine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLM5 PE=1 SV=1;10;4;5;4;56,7;1,635;1,621;1,323;1,333;1,142;0,92
Q08746;Regulator of ribosome biosynthesis OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRS1 PE=1 SV=1;18;3;5;3;22,9;1,697;1,555;1,669;1,333;1,662;1,533
P53632;Poly(A) RNA polymerase protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAP2 PE=1 SV=1;7;4;5;4;66;1,066;1,119;0,841;1,085;0,974;0,745
P25038;Translation initiation factor IF-2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IFM1 PE=1 SV=2;7;4;5;4;75,6;1,697;1,857;1,504;1,569;1,536;1,478
P40893;Regulation of enolase protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=REE1 PE=1 SV=1;15;3;5;3;22;0,606;0,689;0,73;0,6;0,761;1,006
Q12697;Vacuolar cation-transporting ATPase YPK9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPK9 PE=1 SV=1;3;5;5;5;166,6;1,289;1,27;1,095;1,21;1,188;0,913
P22438;Methionine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSM1 PE=1 SV=2;13;5;5;5;66,7;1,321;1,316;1,109;1,167;1,055;1,04
P40169;Uncharacterized plasma membrane protein YNL194C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL194C PE=1 SV=1;8;3;5;3;34,1;0,699;0,657;0,686;0,737;0,635;0,512
P06778;DNA repair and recombination protein RAD52 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD52 PE=1 SV=2;13;4;5;4;52,4;0,529;0,523;0,664;0,465;0,489;0,547
Q02875;SMY2 homolog 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SYH1 PE=1 SV=1;6;5;5;5;94,3;0,762;0,763;0,662;0,691;0,701;0,559
Q12463;tRNA (guanine(10)-N2)-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM11 PE=1 SV=1;8;4;5;4;50;1,3;1,296;1,083;1,129;1,352;1,468
P33417;Intrastrand cross-link recognition protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IXR1 PE=1 SV=2;5;3;5;3;67,8;0,882;0,877;1,275;0,819;0,967;1,084
Q06508;Lysophosphatidic acid:oleoyl-CoA acyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LOA1 PE=1 SV=1;16;4;5;4;33,8;0,96;1,008;0,923;0,776;0,906;1,031
P03879;Intron-encoded RNA maturase bI4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BI4 PE=1 SV=2;4;3;5;3;74,5;0,294;0,278;0,19;0,269;0,208;0,093
P14693;Sorting assembly machinery 35 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM35 PE=1 SV=2;14;4;5;4;37,4;0,907;0,915;0,954;0,823;0,758;0,717
P53730;Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALG12 PE=1 SV=1;7;4;5;4;62,6;0,872;0,847;0,567;0,802;0,639;0,352
Q03823;Uncharacterized protein YMR160W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR160W PE=1 SV=1;5;5;5;5;95;0,623;0,6;0,486;0,539;0,501;0,408
P32904;54S ribosomal protein L6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL6 PE=1 SV=2;14;3;5;3;23,9;1,234;1,288;1,226;1,098;1,051;1,084
P39984;Histone acetyltransferase type B subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAT2 PE=1 SV=1;11;4;5;4;45;1,138;1,177;1,114;1,067;1,3;1,828
Q03305;Protein arginine N-methyltransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RMT2 PE=1 SV=1;12;5;5;5;47,4;1,001;0,951;0,606;0,917;0,717;0,352
P22204;Cell cycle protein kinase DBF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBF2 PE=1 SV=3;9;5;5;2;66,1;0,865;0,826;0,96;1,011;0,977;1,321
Q04170;Uncharacterized protein YDR391C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR391C PE=1 SV=1;17;4;5;4;26,3;0,484;0,48;0,318;0,497;0,321;0,256
P50942;Polyphosphatidylinositol phosphatase INP52 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP52 PE=1 SV=1;4;5;5;4;133,2;1,002;0,769;0,724;0,865;0,882;0,833
Q06991;Protein PUN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUN1 PE=1 SV=1;7;2;5;2;29,2;0,624;0,629;0,426;0,564;0,478;0,176
P40312;Cytochrome b5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYB5 PE=1 SV=2;18;3;5;3;13,3;1,124;1,055;0,355;1,119;0,989;0,212
Q04410;GRASP65 homolog protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRH1 PE=1 SV=1;14;4;5;4;41,1;0,862;0,852;0,722;0,853;0,805;0,866
Q99385;Vacuolar calcium ion transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VCX1 PE=1 SV=1;9;4;5;4;44,6;0,385;0,427;0,284;0,208;0,267;0,181
P46677;Transcription initiation factor TFIID subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF1 PE=1 SV=1;4;4;5;4;120,6;1,197;1,224;0,944;1,145;0,934;0,626
Q07914;Mitochondrial import inner membrane translocase subunit TIM14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PAM18 PE=1 SV=1;15;3;5;3;17,9;0,779;0,877;0,912;0,744;0,813;0,792
P20604;Serine/threonine-protein phosphatase PP1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIT4 PE=1 SV=1;10;3;5;3;35,5;0,6;0,582;0,655;0,577;0,53;0,496
Q02784;Monothiol glutaredoxin-5, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GRX5 PE=1 SV=1;28;3;5;3;16,9;2,22;2,052;1,67;2,107;1,87;1,984
P48525;Glutamate--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSE1 PE=1 SV=2;9;4;5;4;61,6;0,535;0,55;0,396;0,514;0,436;0,34
Q03768;Protein GIR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GIR2 PE=1 SV=1;21;4;5;4;31;1,508;1,531;0,716;1,293;1,138;0,656
P43682;Protein transport protein SFT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFT1 PE=1 SV=1;52;4;5;4;11;2,081;2,045;1,766;2,138;1,731;0,809
P36164;Golgi apparatus membrane protein TVP38 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TVP38 PE=1 SV=1;12;4;5;4;38,3;0,663;0,681;0,522;0,792;0,777;0,503
P38803;Pre-rRNA-processing protein IPI1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IPI1 PE=1 SV=1;16;4;5;4;37,8;2,138;2,118;2,916;1,868;2,046;2,107
Q03730;Uncharacterized vacuolar membrane protein YML018C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YML018C PE=1 SV=1;6;2;5;2;43,7;0,649;0,689;0,558;1,405;1,179;0,606
P31381;Nucleoside transporter FUN26 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN26 PE=1 SV=1;3;2;5;2;58,3;1,126;1,035;0,943;1,093;0,99;0,655
P26798;Protein INO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INO2 PE=1 SV=1;10;3;5;3;34,2;1,447;1,342;0,962;1,585;1,271;0,92
P46959;tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GCD14 PE=1 SV=1;13;5;5;5;43,9;0,98;1,001;1,103;0,861;0,963;0,999
Q02630;Nucleoporin NUP116/NSP116 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP116 PE=1 SV=2;2;3;5;2;116,2;1,431;1,4;1,551;1,33;1,443;1,511
Q12256;Polyamine transporter 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPO4 PE=1 SV=1;8;3;5;3;73,2;0,625;0,579;0,377;0,553;0,449;0,153
P41543;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OST1 PE=1 SV=1;8;4;5;4;54;1,525;1,566;1,148;1,47;1,256;0,786
Q04183;Trafficking protein particle complex II-specific subunit 120 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRS120 PE=1 SV=1;4;5;5;5;147,6;1,137;1,023;0,748;1,082;0,899;0,555
P38820;Adenylyltransferase and sulfurtransferase UBA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBA4 PE=1 SV=1;11;5;5;5;49,3;0,718;0,715;0,572;0,612;0,853;1,119
P23291;Casein kinase I homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCK1 PE=1 SV=1;6;5;5;3;61,7;0,569;0,54;0,538;0,544;0,423;0,459
P53173;ER-derived vesicles protein ERV14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERV14 PE=1 SV=3;8;1;5;1;15,9;0,583;0,59;0,386;0,662;0,574;0,177
P38328;Actin-related protein 2/3 complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC40 PE=1 SV=1;7;3;5;3;42,4;0,926;0,939;1,435;0,883;0,973;1,035
P53738;Multifunctional methyltransferase subunit TRM112 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TRM112 PE=1 SV=1;19;2;5;2;15,1;1,405;1,32;0,836;1,489;1,355;0,663
Q12034;Protein SLF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SLF1 PE=1 SV=1;10;3;5;3;50,9;1,077;1,061;0,558;0,896;0,657;0,352
Q08760;Bud site selection protein RAX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAX1 PE=1 SV=1;7;3;5;3;50,1;0,861;0,822;0,399;0,839;0,611;0,275
Q12373;HAT1-interacting factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HIF1 PE=1 SV=1;8;3;5;3;43,4;0,976;0,96;0,41;0,946;0,676;0,359
P40481;Histidine protein methyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HPM1 PE=1 SV=1;6;2;5;2;42,5;1,078;1,084;0,951;1,066;0,967;0,716
P34244;Probable serine/threonine-protein kinase HSL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSL1 PE=1 SV=2;3;4;5;3;169,5;1,082;1,074;0,984;0,936;0,884;0,808
P40061;Target of rapamycin complex 2 subunit TSC11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TSC11 PE=1 SV=1;3;5;5;5;164,3;1,248;1,299;0,825;1,166;0,975;0,613
P22216;Serine/threonine-protein kinase RAD53 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD53 PE=1 SV=1;6;4;5;4;91,9;1,052;1,075;0,87;0,99;0,985;0,941
Q08923;Histone deacetylase complex subunit CTI6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CTI6 PE=1 SV=1;9;5;5;5;57;1,46;1,388;1,073;1,633;1,547;0,945
P32339;Heme-binding protein HMX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HMX1 PE=2 SV=3;10;4;5;4;37,2;0,697;0,715;0,526;0,701;0,608;0,363
P10862;Postreplication repair E3 ubiquitin-protein ligase RAD18 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RAD18 PE=1 SV=1;9;2;5;2;55,2;0,467;0,448;0,421;0,498;0,398;0,264
P39012;GPI transamidase component GAA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAA1 PE=1 SV=1;6;4;5;4;69,2;0,859;0,869;0,67;0,796;0,69;0,345
Q3E7A7;Uncharacterized protein YKL018C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKL018C-A PE=1 SV=1;17;3;5;3;11,8;0,661;0,672;0,856;0,644;0,666;0,57
P40496;37S ribosomal protein S25, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM25 PE=1 SV=1;17;4;5;4;30,5;1,513;1,53;1,696;1,278;1,475;1,602
Q04847;Non-SCF-type F-box protein ROY1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ROY1 PE=1 SV=1;11;5;5;5;64,4;0,897;0,945;0,914;0,784;0,918;0,878
P36145;Transcription initiation factor IIE subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFA2 PE=1 SV=3;16;5;5;5;37;1,022;0,973;0,87;0,897;0,929;0,972
P32910;DNA-directed RNA polymerase III subunit RPC6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC34 PE=1 SV=1;11;4;5;4;36,1;1,582;1,717;1,213;1,342;1,326;1,23
P38349;UBX domain-containing protein 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBX7 PE=1 SV=1;10;4;5;4;50;1,023;1,006;1,065;0,856;0,88;1,129
P32367;Transcription factor tau 95 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TFC1 PE=1 SV=1;11;4;5;4;73,5;1,097;1,107;0,918;0,939;1,298;1,3
P05318;60S acidic ribosomal protein P1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP1A PE=1 SV=4;8;1;5;1;10,9;2,342;2,01;0,436;1,604;1,454;0,153
Q04177;U3 small nucleolar RNA-associated protein 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UTP5 PE=1 SV=1;5;4;5;4;72;1,195;1,221;1,323;1,086;1,051;0,764
P40438;VPS10 homolog 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VTH1 PE=1 SV=1;2;4;5;2;174,3;0,916;0,934;0,905;0,997;1,121;1,293
Q05549;ATP-dependent helicase HRQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HRQ1 PE=1 SV=1;6;5;5;5;123,5;1,636;1,48;1,241;1,326;1,316;1,12
P38915;Transcription factor SPT8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT8 PE=1 SV=1;6;3;5;3;66,1;0,865;0,912;0,667;0,895;0,828;0,732
P33308;Mediator of RNA polymerase II transcription subunit 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSE2 PE=1 SV=1;40;5;5;5;17,4;0,606;0,589;0,628;0,609;0,539;0,637
Q99247;Uncharacterized WD repeat-containing protein YOL087C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOL087C PE=1 SV=1;4;5;5;5;125,3;0,677;0,682;0,544;0,624;0,576;0,509
P35189;Transcription initiation factor TFIID subunit 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF14 PE=1 SV=1;18;3;5;3;27,4;1,613;1,688;1,547;1,435;1,413;1,554
Q06211;E3 ubiquitin-protein ligase linker protein MMS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MMS1 PE=1 SV=1;5;5;5;5;161,1;1,147;1,181;0,486;1,278;0,962;0,328
P32328;Serine/threonine-protein kinase DBF20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBF20 PE=1 SV=2;9;5;5;2;65,8;1,067;1,06;0,922;1,047;1,056;1,045
P25303;DnaJ-related protein SCJ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCJ1 PE=1 SV=2;12;5;5;5;41,5;1,3;1,171;1,39;1,194;1,262;1,625
Q02336;Transcriptional adapter 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADA2 PE=1 SV=1;6;3;5;3;50,5;0,421;0,374;0,315;0,533;0,514;0,492
P32190;Glycerol kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GUT1 PE=3 SV=1;5;4;5;4;79,8;0,817;0,822;0,735;0,849;0,779;0,823
Q06630;Mitochondrial homologous recombination protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MHR1 PE=1 SV=1;23;4;5;4;26,9;0,82;0,858;1,03;0,745;0,821;1,46
P32617;Chromatin-remodeling complex subunit IES6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES6 PE=1 SV=1;14;3;5;3;18,5;0,928;0,937;1,792;0,892;1,074;1,424
P31334;54S ribosomal protein L9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL9 PE=1 SV=3;13;4;5;4;29,8;0,686;0,696;1,219;0,633;0,762;1,003
Q08484;GTPase-activating protein GYP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GYP1 PE=1 SV=1;8;5;5;5;73,2;0,66;0,65;0,537;0,624;0,555;0,467
P22214;Protein transport protein SEC22 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC22 PE=1 SV=1;18;4;5;4;25;1,966;1,985;1,768;1,681;1,736;1,679
P53210;Uncharacterized protein YGR017W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR017W PE=1 SV=1;11;5;5;5;34,7;0,597;0,557;0,41;0,579;0,534;0,552
P46992;Cell wall protein YJL171C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJL171C PE=1 SV=2;8;3;5;3;42,9;0,677;0,677;0,455;0,649;0,661;0,556
Q02754;Uncharacterized protein YPL067C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPL067C PE=1 SV=1;21;4;5;4;22,8;0,609;0,589;0,52;0,545;0,471;0,374
Q04311;Protein VMS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMS1 PE=1 SV=1;9;5;5;5;72,7;0,995;1,023;0,914;0,866;0,963;0,908
Q12161;RING finger protein PSH1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSH1 PE=1 SV=1;9;4;5;4;47;0,646;0,72;0,325;0,598;0,507;0,185
Q06632;Protein CFT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CFT1 PE=1 SV=1;3;5;5;5;153,3;1,424;1,554;1,664;1,325;1,531;1,68
P40156;Required for respiratory growth protein 9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRG9 PE=1 SV=1;14;4;5;4;25,3;0,597;0,561;0,688;0,562;0,532;0,626
P40015;Inositol phosphosphingolipids phospholipase C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ISC1 PE=1 SV=1;11;5;5;5;53,9;0,925;0,889;0,741;0,918;0,751;0,497
Q08229;Protein NBA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NBA1 PE=1 SV=1;8;3;5;3;55,9;1,29;1,278;0,813;1,275;1,04;0,607
P47019;Ribosome biogenesis protein ALB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALB1 PE=1 SV=1;17;4;5;4;19,3;1,466;1,431;1,5;1,231;1,388;1,527
P48562;Serine/threonine-protein kinase CLA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CLA4 PE=1 SV=1;6;4;4;4;93,9;1,005;1,029;1,192;0,913;0,947;1,251
Q04562;Transmembrane 9 superfamily member 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TMN2 PE=1 SV=1;3;2;4;1;76,3;0,873;0,856;0,571;0,991;0,782;0,607
P49775;Bis(5'-adenosyl)-triphosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HNT2 PE=1 SV=2;18;3;4;3;23,5;0,911;0,872;0,435;0,88;0,868;0,73
P28005;Ribonuclease P/MRP protein subunit POP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POP5 PE=1 SV=1;20;3;4;3;19,6;0,851;0,807;0,74;0,846;0,678;0,404
Q05031;Mannan endo-1,6-alpha-mannosidase DFG5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DFG5 PE=1 SV=1;9;4;4;4;50,5;0,555;0,57;0,474;0,552;0,495;0,402
P37020;Anion/proton exchange transporter GEF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEF1 PE=1 SV=2;5;4;4;4;87,5;1,083;1,056;0,875;1,112;0,975;0,701
Q07350;Pre-mRNA-splicing factor PRP11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP11 PE=1 SV=1;8;2;4;2;29,9;0,923;0,915;1,494;0,903;1,009;1,236
P54787;Vacuolar protein sorting-associated protein 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS9 PE=1 SV=2;7;3;4;3;52,5;0,975;0,964;0,616;0,945;0,771;0,536
P47137;Uncharacterized oxidoreductase YJR096W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR096W PE=1 SV=1;13;3;4;3;32,3;0,386;0,406;0,426;0,449;0,486;0,497
Q08004;Bud site selection protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD20 PE=1 SV=1;14;3;4;3;18,5;1,803;1,734;2,691;1,645;1,769;1,949
P22136;ATPase expression protein 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AEP2 PE=1 SV=3;6;4;4;4;67,5;0,576;0,582;0,408;0,533;0,41;0,277
P36526;54S ribosomal protein L27, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRPL27 PE=1 SV=2;17;3;4;3;16,5;1,317;1,349;1,674;1,29;1,383;1,603
P38850;Regulator of Ty1 transposition protein 107 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTT107 PE=1 SV=1;3;4;4;4;122,9;1,055;1,019;0,733;1,011;0,813;0,65
Q12272;tRNA 2'-phosphotransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TPT1 PE=1 SV=1;18;4;4;4;26,2;1,065;1,066;1,048;0,91;0,86;0,823
Q03941;Dephospho-CoA kinase CAB5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAB5 PE=1 SV=1;12;4;4;4;27,3;0,895;0,91;0,834;0,834;0,753;0,609
P25616;UPF0655 protein YCR015C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCR015C PE=3 SV=2;9;3;4;3;36,3;0,815;0,725;0,806;0,768;0,733;0,722
P53200;Protein-lysine N-methyltransferase EFM5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EFM5 PE=1 SV=2;6;2;4;2;28,6;0,673;0,677;0,644;0,691;0,867;1,032
P14680;Dual specificity protein kinase YAK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YAK1 PE=1 SV=1;3;3;4;3;91,2;0,461;0,459;0,404;0,413;0,367;0,371
P40480;Protein HOS4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOS4 PE=1 SV=1;3;4;4;4;123,5;0,633;0,63;0,354;0,65;0,539;0,306
P31374;Serine/threonine-protein kinase PSK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PSK1 PE=1 SV=2;4;4;4;3;152,2;0,678;0,535;0,371;0,595;0,48;0,351
P38884;Altered inheritance of mitochondria protein 18, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM18 PE=1 SV=1;11;3;4;3;36,5;0,527;0,52;0,511;0,511;0,433;0,449
Q03362;Uncharacterized protein YDR476C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR476C PE=1 SV=1;18;3;4;3;25,3;1,831;1,963;1,632;1,812;1,813;1,734
P22470;Protein SAN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAN1 PE=1 SV=1;5;3;4;3;65,6;0,967;0,989;0,535;0,935;0,722;0,399
Q06504;N-terminal acetyltransferase B complex catalytic subunit NAT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NAT3 PE=1 SV=2;13;2;4;2;22,9;0,987;1,134;0,888;0,876;0,841;0,937
Q06411;Pre-mRNA-splicing factor SPP382 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPP382 PE=1 SV=1;4;3;4;3;83;0,801;0,75;0,492;0,72;0,553;0,321
Q12133;Signal peptidase complex subunit SPC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC3 PE=1 SV=1;20;4;4;4;21,3;1,112;0,945;1,204;1,249;1,153;2,626
Q00684;Tyrosine-protein phosphatase CDC14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CDC14 PE=1 SV=2;5;3;4;3;61,9;1,138;1,16;1,337;1,076;1,171;1,241
